combo,r2,rmse,mae,mape
AC,0.9999754973075582,0.23169790091373338,0.1310831463569091,0.01536661508450352
C (LinearRegression),0.999973441989125,0.24121980780028499,0.16138955241612718,0.02075671378950819
A (RandomForest),0.9999575530032015,0.3049570509323577,0.1294393704955223,0.012439989847878712
ABC (bonus),0.9999459534242863,0.34411157900829015,0.13300115600646467,0.01406272607443476
BC,0.9999153658214072,0.4306139417919392,0.1462637743213591,0.015664606527616948
AB,0.9998986248154139,0.4712821856902376,0.14110630113154352,0.012891476750968162
B (DecisionTree),0.999713375966614,0.7924493188543873,0.1743494507934416,0.015030189707651635
