combo,r2,rmse,mae,mape
C (LinearRegression),0.999973441989125,0.24121980780028499,0.16138955241612718,0.02075671378950819
AC,0.9998050183939572,0.6535999593894682,0.16715107429256568,0.016506926595241445
ABC (bonus),0.9995613607725684,0.9803224059795379,0.1733477345782727,0.016126978253075047
BC,0.9993846599180313,1.1611084814080512,0.16799143592196364,0.0173066735809481
A (RandomForest),0.9992870392887493,1.2498215074721966,0.2076896144640223,0.01577675700791409
AB,0.9990392394505294,1.4508508744386313,0.21032131147817867,0.016756073971824454
B (DecisionTree),0.9976029428190812,2.291682202287001,0.23072287533261326,0.018966392563217062
